site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Pet Plan,Dog,Fox Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Fox Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Foxy Russell,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,French Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,French Mastiff,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,French Sheepdog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,French Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Frenchie Pug,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Frenchpie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Galgo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Garvey,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Gascon Saintongeois,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Gazelle Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Gerbarian Husky,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,German Longhaired Pointer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,German Pointer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,German Shepherd,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,German Shorthaired Pointer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,German Spitz,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,German Wirehaired Pointer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Giant Schnauzer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Glen Of Imaal Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Goberain,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Goldador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Golden Border Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Golden Labrador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Golden Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Golden Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Goldendoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Gonche (Bulgarian Scenthound),4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Gordon Setter,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Grand Bleu De Gascoigne,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Great Dane,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Greater Swiss Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Greek Harehound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Greek Sheepdog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Greek Shepherd,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Greenland Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Greyhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Griffon Brabancon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Griffon Bruxellois,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Griffon Fauve de Bretagne,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Griffon Nivernais,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Groenendael,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hamiltonstovare,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hanoverian Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Harrier Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Havachon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Havanese,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Heeler,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hellenic Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hellinikos Ichnilatis,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Herzegovinian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hovawart,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hungarian Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hungarian Kuvasz,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hungarian Mudi,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hungarian Puli,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Hungarian Pumi,4,Male,Yes,Free,Covered For Life - £4000 or more
